street,city,zip_code,county,country,latitude,longitude,time_zone
1275 Stroman Turnpike,New Ansley,75645,Worcestershire,Gabon,-15.739,-21.276,Africa/Cairo
685 Quitzon Green,West Brendonville,78855-2795,Isle of Wight,Cyprus,-64.756,53.22,Africa/Cairo
1432 Cronin Shoal,Bellingham,14556-1219,Hampshire,New Caledonia,16.558,-45.451,Africa/Cairo
571 Kihn Expressway,Marionton,15108-3271,Rutland,"Virgin Islands, U.S.",-82.708,75.622,Africa/Cairo
1295 Reynold Crossing,Marionton,35811,Herefordshire,Iran,-52.383,71.412,Africa/Cairo
338 Abbott Square,Port Amie,92085-6895,Nottinghamshire,Argentina,-69.992,54.255,Africa/Cairo
1295 Zboncak Center,Rogers,84041,Nottinghamshire,Liechtenstein,88.325,105.541,Africa/Cairo
1180 Antonietta Highway,North Braulio,80731,Oxfordshire,Congo,33.217,58.723,Africa/Cairo
1488 Doyle Expressway,Shoreline,46936-9878,Leicestershire,Iran,5.782,103.226,Africa/Cairo
503 Stroman Turnpike,Port Amie,38280,Greater Manchester,Sierra Leone,-81.964,-12.654,Africa/Cairo
332 Harmon Lodge,Johnnieburgh,84607-5953,Surrey,Dominican Republic,43.26,14.424,Africa/Cairo
876 Caesar Place,West Brendonville,63574,Oxfordshire,Tajikistan,67.155,-73.744,Africa/Cairo
1202 Harber Village,Durwardton,26155,Northumberland,Monaco,-52.405,-82.86,Africa/Cairo
731 Howell Plaza,Reichertland,85107,Shropshire,Saint Kitts and Nevis,-29.357,-151.017,Africa/Cairo
657 Adell Mews,Glen Burnie,83151-1971,South Yorkshire,Argentina,-66.209,-43.473,Africa/Cairo
831 Goyette Circle,North Sigmund,73044,City of London,British Indian Ocean Territory (Chagos Archipelago),-64.281,114.009,Africa/Cairo
1210 Tremblay Springs,Denesikburgh,24576-9471,Surrey,Mozambique,14.63,-69.194,Africa/Cairo
65 Howell Vista,Bahringertown,69635,West Sussex,Pitcairn Islands,14.315,4.835,Africa/Cairo
1143 Jocelyn Throughway,Henderson,50119-2479,South Yorkshire,Brazil,-78.305,67.634,Africa/Cairo
1384 Benny River,Henderson,82457-3988,Lancashire,Burkina Faso,-41.65,2.461,Africa/Cairo
1197 Emard Hill,Cruzshire,35324,Herefordshire,Hungary,-69.122,88.223,Africa/Cairo
1134 Curt Locks,West Dellside,47630,Cumbria,Cyprus,-87.64,-32.322,Africa/Cairo
932 Goyette Circle,West Dorris,10836,Suffolk,Guinea,84.254,17.742,Africa/Cairo
1355 Max Wall,West Everardo,91894,Shropshire,Monaco,0.068,-107.226,Africa/Cairo
209 Missouri Extension,West Dorris,75704,Berkshire,Costa Rica,-81.81,112.061,Africa/Cairo
1103 Zulauf Branch,South Dagmarshire,75304-5805,Herefordshire,Nauru,-66.188,-111.137,Africa/Cairo
1070 Adell Mews,Rettaland,26841,Cornwall,Mauritius,-57.8,-104.297,Africa/Cairo
72 Stiedemann Field,Marionton,22602,Isle of Wight,Guinea-Bissau,-26.022,129.871,Africa/Cairo
1426 Stroman Turnpike,Franeckiview,78710,Norfolk,Montserrat,23.935,175.886,Africa/Cairo
959 Conner Vista,Reichertland,43287,Bristol,Saint Martin,-18.705,-6.736,Africa/Cairo
798 Calista Via,Durwardton,21514,Oxfordshire,Spain,-87.96,-73.796,Africa/Cairo
359 Hodkiewicz Oval,West Estaton,53925-9716,Cornwall,Central African Republic,-47.58,51.06,Africa/Cairo
969 Viviane Junctions,Henderson,16736,Buckinghamshire,Burkina Faso,-11.996,-13.141,Africa/Cairo
678 Howell Plaza,New Solonmouth,20741-1548,Rutland,Congo,89.367,-179.922,Africa/Cairo
699 Cronin Shoal,Lake Brianne,34609-8042,East Riding of Yorkshire,French Southern Territories,-31.579,-146.176,Africa/Cairo
89 Hauck Stream,Janefurt,42235-2752,West Yorkshire,Belize,54.96,-65.349,Africa/Cairo
609 Buckridge Drives,West Lucy,89631,East Sussex,Namibia,70.059,15.919,Africa/Cairo
362 Jade Shore,Williemouth,14401-7193,Bristol,Germany,-89.316,135.934,Africa/Cairo
208 Quigley Parkways,Haneborough,93829,Derbyshire,Saint Kitts and Nevis,-29.018,-100.126,Africa/Cairo
295 Abbott Square,Lake Zackton,45101,West Yorkshire,Canada,50.944,-13.684,Africa/Cairo
368 Rohan Tunnel,East Filibertofurt,67054,North Yorkshire,Ecuador,2.02,51.529,Africa/Cairo
602 Moises Causeway,Port Salvador,21533,Essex,Azerbaijan,-33.991,20.727,Africa/Cairo
472 Buckridge Drives,Franeckiview,62114-9639,East Riding of Yorkshire,British Indian Ocean Territory (Chagos Archipelago),-48.835,46.627,Africa/Cairo
147 Antonietta Highway,Cruzshire,30407-7522,Merseyside,Costa Rica,10.46,134.611,Africa/Cairo
1255 Jazmyn Isle,Durwardton,92673,Leicestershire,Bahrain,35.679,-65.631,Africa/Cairo
960 Glover Lights,Port Ricky,71484,Bedfordshire,Peru,57.891,99.881,Africa/Cairo
125 Fannie Loaf,North Braulio,53396,Cumbria,Indonesia,-38.752,16.853,Africa/Cairo
438 Cronin Shoal,South Laila,32593,Worcestershire,Bahrain,-10.468,-124.422,Africa/Cairo
1228 Wilma Greens,Opalbury,49817,West Yorkshire,Paraguay,-20.969,-118.949,Africa/Cairo
1074 Reynold Crossing,Port Salvador,37548-8178,Lincolnshire,Russian Federation,-79.593,-25.957,Africa/Cairo
963 Hilma Mills,Lake Anthony,78707-4876,Greater London,Iran,-18.781,-61.752,Africa/Cairo
110 Kihn Expressway,Farmington,25354-9363,Hampshire,Burundi,-55.033,74.126,Africa/Cairo
1382 Missouri Extension,New Ansley,39431-8585,Wiltshire,Vanuatu,-53.916,72.66,Africa/Cairo
493 Esteban Inlet,Port Asa,71350-5991,Herefordshire,Croatia,-59.428,-174.25,Africa/Cairo
1117 Antonietta Highway,Lake Ludie,30808,Greater Manchester,Paraguay,-13.935,175.447,Africa/Cairo
95 Gutkowski Ferry,Kissimmee,77827-3285,Greater Manchester,Christmas Island,-70.552,-146.056,Africa/Cairo
335 Goyette Circle,New Montemouth,94259,Cheshire,Switzerland,-57.027,-80.18,Africa/Cairo
30 Stroman Turnpike,Venamouth,86033-8234,Greater Manchester,Belize,11.393,55.59,Africa/Cairo
557 Buckridge Drives,East Filibertofurt,75253-1145,Cornwall,Afghanistan,80.402,138.843,Africa/Cairo
1078 Konopelski Inlet,West Brendonville,72219-5353,City of London,Tajikistan,-61.333,77.445,Africa/Cairo
480 Fay Corners,West Brendonville,17305,City of London,Pitcairn Islands,-30.427,-51.648,Africa/Cairo
1264 Harmon Lodge,Janefurt,94626,Tyne and Wear,Peru,-67.167,-152.499,Africa/Cairo
55 Tremblay Springs,Bernierfurt,73967,Essex,Brazil,7.561,-3.935,Africa/Cairo
1352 Adell Mews,New Solonmouth,85532,Leicestershire,Estonia,88.185,103.839,Africa/Cairo
332 Dianna Inlet,North Nona,83052-1592,Buckinghamshire,Namibia,-64.006,-0.994,Africa/Cairo
964 Zulauf Branch,West Lucy,46258,Bedfordshire,Moldova,-26.742,100.55,Africa/Cairo
573 Max Wall,Cruzshire,45668,South Yorkshire,Romania,-3.979,-158.494,Africa/Cairo
571 Howell Vista,Franeckiview,61923-9228,Cumbria,Greece,74.254,153.234,Africa/Cairo
914 Eugenia Heights,Funkville,92932-3592,Devon,United Kingdom,-50.242,97.074,Africa/Cairo
92 Lehner Drive,New Wallaceberg,38034-3172,Hampshire,Somalia,56.333,-51.252,Africa/Cairo
782 Harber Village,Denesikburgh,17961,Isle of Wight,Isle of Man,-2.044,-7.079,Africa/Casablanca
1360 Heathcote Cliff,South Verdieton,51962,West Midlands,Christmas Island,-53.624,-17.169,Africa/Casablanca
917 Wolf Glen,Cruzshire,78445,Greater London,Monaco,-67.352,145.608,Africa/Casablanca
533 Genesis Plaza,Jaskolskifort,45798,Suffolk,France,-41.772,92.566,Africa/Casablanca
1329 Aracely Row,North Celia,58623-2781,Nottinghamshire,Montserrat,40.437,93.772,Africa/Casablanca
114 King Springs,Rogers,56703-9406,South Yorkshire,Switzerland,12.946,134.37,Africa/Casablanca
1153 Fay Corners,New Merle,91972,Rutland,Pitcairn Islands,70.344,-158.033,Africa/Casablanca
312 Fannie Loaf,Tryciastad,72101-3528,Somerset,Christmas Island,-58.614,-151.575,Africa/Casablanca
980 King Drives,West Everardo,59786-4275,Bristol,Afghanistan,-51.085,-38.091,Africa/Casablanca
888 Benny River,West Dellside,26395,Warwickshire,Greece,68.24,67.513,Africa/Casablanca
418 Durgan Parkways,South Verdieton,46780-8650,Berkshire,Hungary,54.637,-155.013,Africa/Casablanca
271 Jade Shore,Cruzshire,55372-9671,Surrey,Afghanistan,67.467,-50.585,Africa/Casablanca
399 Kreiger Mission,North Sigmund,59296-3245,North Yorkshire,Cocos (Keeling) Islands,-29.354,72.216,Africa/Casablanca
40 Leffler Fields,North Nona,13735-1851,Cambridgeshire,Mongolia,-65.383,-83.126,Africa/Casablanca
447 Corwin Mission,West Simone,43035,Northumberland,Gabon,-36.322,58.808,Africa/Casablanca
490 Hodkiewicz Oval,State College,40483,Greater London,Central African Republic,26.993,-83.13,Africa/Casablanca
81 Ruecker Fields,Franeckiview,99215,East Sussex,Paraguay,9.053,13.62,Africa/Casablanca
1062 Calista Via,New Davonteside,45811-8835,Wiltshire,Russian Federation,54.969,-119.616,Africa/Casablanca
554 Georgiana Throughway,State College,38335-1601,West Yorkshire,Estonia,-12.308,-116.886,Africa/Casablanca
998 Stokes Wells,South Verdieton,73674-9322,North Yorkshire,Burkina Faso,3.354,-107.459,Africa/Casablanca
587 Cronin Shoal,West Janetborough,19965-4636,North Yorkshire,British Indian Ocean Territory (Chagos Archipelago),79.42,118.898,Africa/Casablanca
1019 Sammy Creek,Borerville,10606-1583,Herefordshire,Congo,23.086,126.155,Africa/Casablanca
422 Aracely Row,Lake Anthony,81269,Lincolnshire,Chile,10.65,-148.545,Africa/Casablanca
588 Quitzon Green,New Merle,44167-7428,Greater Manchester,Montserrat,-74.76,-118.487,Africa/Casablanca
327 Wolf Glen,Port Salvador,82263,Tyne and Wear,Ethiopia,-32.988,72.981,Africa/Casablanca
1109 Genesis Plaza,South Ahmedfort,53887-1093,Cambridgeshire,Bolivia,-82.708,-102.887,Africa/Casablanca
1306 Jazmyn Isle,New Wallaceberg,49114,North Yorkshire,Sierra Leone,31.408,-96.974,Africa/Casablanca
570 Buckridge Drives,Jaskolskifort,61826,Cumbria,Germany,-51.788,18.499,Africa/Casablanca
169 Quitzon Green,Aliso Viejo,72254,Derbyshire,Liechtenstein,6.462,131.728,Africa/Casablanca
